workerid,correct_answer,math_answer,prime,prime_condition,sentence_completion,slide_number_in_experiment,target,error,label
22,filler,1,Filler03.png,Fi,the mechanic.,2,The racing driver showed the torn overall to ____ .,,
22,14,14,LAprime02.png,LA,incriminated all guilty parties.,3,The secret service confiscated all files of the organisation that ____ .,,H
22,21,21,BLprime12.png,BL,relied on incomplete data.,4,The scientist criticised the method of the studies that ____ .,,U
22,filler,15,Filler21.png,Fi,black and tattered.,5,The captain recalled that sails of the pirates' ship were ____ .,,
22,filler,4,Filler16.png,Fi,he sneezed.,6,The speaker switched off the microphone before ____ .,,
22,filler,15,Filler10.png,Fi,the regulars at the end of the bar.,7,The barman slid a whiskey and a beer over to ____.,,
22,5,5,HAprime01.png,HA,had died tragically.,8,The minister saw the bodyguard of the diplomats who ____ .,,U
22,16,16,HAprime03.png,HA,were built three hundred years ago.,9,The tourist guide mentioned the bells of the church that ____ .,,H
22,12,12,HAprime08.png,HA,lampooned the president.,10,We were amused at the articles of the newspaper that ____ .,,H
22,18,18,BLprime11.png,BL,didn't honor their agreement.,11,The bus driver talked to the leader of the boy scouts who ____ .,,L
22,filler,16,Filler19.png,Fi,there will be a few bumps.,12,Shortly before the fully occupied passenger plane has landed ____ .,,
22,filler,5,Filler04.png,Fi,a charity drive.,13,The management of the successful supermarket chain planned ____ .,,
22,filler,15,Filler06.png,Fi,that he had no knowledge of illegal action,14,The accomplice of the recently convicted fraudster alleged ____ .,,
22,filler,7,Filler20.png,Fi,began to chop it neatly,15,"After washing the salad with its firm green leaves, the scullion ____ .",,
22,1,1,HAprime09.png,HA,had been delivered to her by mistake,16,The homeowner kept the letters of the office that ____ .,,H
22,filler,12,Filler02.png,Fi,always lying in the street,17,The woman complained that the bicycles of the neighbour's kids were ____ .,,
22,filler,3,Filler11.png,Fi,resigned,18,The prime minister held a press conference and shortly afterwards ____ .,,
22,filler,7,Filler24.png,Fi,the performance,19,The famous entertainer was given a bunch of flowers after ____ .,,
22,20,20,LAprime05.png,LA,needed a change in care regimen,20,The social worker greeted the nurse of the senior-citizens who ____.,,L
22,filler,14,Filler18.png,Fi,accidents have decreased,21,Thanks to stricter speed checks on national motorways ____.,,
22,26,26,BLprime04.png,BL,terminated his employment,22,The hacker attacked the web sites of the service provider that ____ .,,L
22,filler,3,Filler12.png,Fi,stolen,23,The police learnt that the handbag of the diplomat's wife had been ____ .,,
22,5,5,LAprime10.png,LA,was underperforming,24,The superintendent checked the earnings of the company that ____ .,,L
22,filler,4,Filler07.png,Fi,the doctor arrived,25,The patient had to wait for quite some time before ____ .,,
22,filler,7,Filler15.png,Fi,invested in crypto currency,26,"Because of last night's TV documentary, the old lady ____ .",,
22,24,24,BLprime07.png,BL,regularly committed tax fraud,27,A stranger blackmailed the butler of the royals who ____ .,,L
22,filler,1,Filler13.png,Fi,school has been cancelled,28,Because of unexpectedly harsh weather conditions in spring ____ .,,
22,filler,10,Filler14.png,Fi,the house across the street,29,The postman delivered a small parcel to ____ .,,
22,filler,2,Filler09.png,Fi,he felt it was his duty,30,The priest looked after the asylum seekers because ____ .,,
22,filler,14,Filler01.png,Fi,to be scrubbed immediately,31,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
22,filler,3,Filler08.png,Fi,the zombies couldn't get inside,32,The teenagers barricaded the main entrance of the school so that ____ .,,
22,7,7,LAprime06.png,LA,requested to remain anonymous,33,The commission referred to the source of the donations that ____ .,,H
22,filler,5,Filler17.png,Fi,out of tune,34,The conductor noticed that the strings of the soloist's violin were ____ .,,
22,filler,12,Filler22.png,Fi,was badgering the witness,35,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
22,filler,7,Filler23.png,Fi,I was late to work,36,Because of a considerable delay of the 7:30am train ____ .,,
22,filler,6,Filler05.png,Fi,campfires,37,The ranger of the forest near the city borders forbid ____ .,,
34,filler,4,Filler16.png,Fi,fell asleep,2,"Because of last night's TV documentary, the old lady ____ .",,
34,filler,4,Filler07.png,Fi,they needed help,3,The priest looked after the asylum seekers because ____ .,,
34,filler,10,Filler14.png,Fi,people were late,4,Because of a considerable delay of the 7:30am train ____ .,,
34,filler,6,Filler05.png,Fi,the seatbelt light went on,5,Shortly before the fully occupied passenger plane has landed ____ .,,
34,26,26,BLprime08.png,BL,was in the town,6,The tourist guide mentioned the bells of the church that ____ .,,L
34,9,9,HAprime11.png,HA,he disliked,7,The hacker attacked the web sites of the service provider that ____ .,,U
34,filler,7,Filler20.png,Fi,the house,8,The postman delivered a small parcel to ____ .,,
34,filler,7,Filler15.png,Fi,they could skip class,9,The teenagers barricaded the main entrance of the school so that ____ .,,
34,8,8,LAprime01.png,LA,he had,10,The homeowner kept the letters of the office that ____ .,,H
34,filler,12,Filler22.png,Fi,crops were damaged,11,Because of unexpectedly harsh weather conditions in spring ____ .,,
34,filler,2,Filler09.png,Fi,his crew,12,The racing driver showed the torn overall to ____ .,,
34,filler,7,Filler24.png,Fi,seeing the doctor,13,The patient had to wait for quite some time before ____ .,,
34,15,15,HAprime06.png,HA,were visiting,14,The minister saw the bodyguard of the diplomats who ____ .,,L
34,filler,15,Filler10.png,Fi,new,15,The conductor noticed that the strings of the soloist's violin were ____ .,,
34,5,5,LAprime10.png,LA,he was invested in,16,The superintendent checked the earnings of the company that ____ .,,L
34,filler,14,Filler01.png,Fi,her performance,17,The famous entertainer was given a bunch of flowers after ____ .,,
34,filler,7,Filler23.png,Fi,was out of order,18,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
34,filler,15,Filler06.png,Fi,put it in a bowl,19,"After washing the salad with its firm green leaves, the scullion ____ .",,
34,12,12,HAprime12.png,HA,he read,20,The scientist criticised the method of the studies that ____ .,,L
34,16,16,BLprime02.png,BL,he hated,21,A stranger blackmailed the butler of the royals who ____ .,,U
34,19,19,LAprime07.png,LA,it recieved,22,The commission referred to the source of the donations that ____ .,,L
34,filler,1,Filler13.png,Fi,left the building,23,The prime minister held a press conference and shortly afterwards ____ .,,
34,16,16,HAprime03.png,HA,were going on a trip,24,The bus driver talked to the leader of the boy scouts who ____ .,,L
34,filler,12,Filler02.png,Fi,leaving,25,The speaker switched off the microphone before ____ .,,
34,26,26,BLprime04.png,BL,it was investigating,26,The secret service confiscated all files of the organisation that ____ .,,L
34,filler,5,Filler04.png,Fi,scrubbed,27,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
34,filler,3,Filler12.png,Fi,to expand,28,The management of the successful supermarket chain planned ____ .,,
34,filler,3,Filler11.png,Fi,lost,29,The police learnt that the handbag of the diplomat's wife had been ____ .,,
34,filler,15,Filler21.png,Fi,campfires,30,The ranger of the forest near the city borders forbid ____ .,,
34,filler,3,Filler08.png,Fi,black,31,The captain recalled that sails of the pirates' ship were ____ .,,
34,19,9,BLprime09.png,BL,were unbelievable,32,We were amused at the articles of the newspaper that ____ .,,H
34,20,20,LAprime05.png,LA,were sick,33,The social worker greeted the nurse of the senior-citizens who ____.,,L
34,filler,16,Filler19.png,Fi,innocence,34,The accomplice of the recently convicted fraudster alleged ____ .,,
34,filler,5,Filler17.png,Fi,the customer,35,The barman slid a whiskey and a beer over to ____.,,
34,filler,1,Filler03.png,Fi,accidents were reduced,36,Thanks to stricter speed checks on national motorways ____.,,
34,filler,14,Filler18.png,Fi,in the road,37,The woman complained that the bicycles of the neighbour's kids were ____ .,,
28,filler,3,Filler03.png,Fi,he took a vow,2,The priest looked after the asylum seekers because ____ .,,
28,filler,3,Filler08.png,Fi,flowers didn't bloom,3,Because of unexpectedly harsh weather conditions in spring ____ .,,
28,16,16,BLprime02.png,BL,he worked for,4,The superintendent checked the earnings of the company that ____ .,,L
28,filler,5,Filler17.png,Fi,the customer,5,The postman delivered a small parcel to ____ .,,
28,21,21,BLprime12.png,BL,the target used,6,The hacker attacked the web sites of the service provider that ____ .,,U
28,filler,7,Filler15.png,Fi,felt deeply,7,"Because of last night's TV documentary, the old lady ____ .",,
28,filler,7,Filler24.png,Fi,clean,8,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
28,filler,7,Filler23.png,Fi,the video started,9,The speaker switched off the microphone before ____ .,,
28,16,16,HAprime03.png,HA,violated the law,10,The secret service confiscated all files of the organisation that ____ .,,L
